sampling_step,model_family,delta_min,delta_safe,eta,uncertainty_max,split,feasible_selective_gate,n,coverage,adaptive_count,selective_property_harm_rate,property_harm_rate_all,adaptive_action_precision,expected_treatment_gain_adaptive_subset,controller_gain_overall,full_oracle_gain,oracle_recovery,c0_property_mae,a0_property_mae
100,ridge,0.005,0.005,0.1,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.005,0.005,0.1,0.019387952145297878,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.005,0.005,0.1,0.026559374143421157,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.005,0.005,0.1,0.04127594126808345,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.005,0.005,0.2,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.005,0.005,0.2,0.019387952145297878,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.005,0.005,0.2,0.026559374143421157,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.005,0.005,0.2,0.04127594126808345,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.005,0.005,0.3,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.005,0.005,0.3,0.019387952145297878,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.005,0.005,0.3,0.026559374143421157,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.005,0.005,0.3,0.04127594126808345,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.005,0.005,0.4,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.005,0.005,0.4,0.019387952145297878,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.005,0.005,0.4,0.026559374143421157,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.005,0.005,0.4,0.04127594126808345,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.01,0.0,0.1,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0,0.1,0.019387952145297878,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0,0.1,0.026559374143421157,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0,0.1,0.04127594126808345,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0,0.2,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0,0.2,0.019387952145297878,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0,0.2,0.026559374143421157,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.01,0.0,0.2,0.04127594126808345,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.01,0.0,0.3,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0,0.3,0.019387952145297878,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.0147474260019454,-0.0007761803158918631,0.012760868178787218,-0.0608250398810742,0.025646348666948943,0.02642252898284081
100,ridge,0.01,0.0,0.3,0.026559374143421157,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,ridge,0.01,0.0,0.3,0.04127594126808345,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,ridge,0.01,0.0,0.4,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0,0.4,0.019387952145297878,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.0147474260019454,-0.0007761803158918631,0.012760868178787218,-0.0608250398810742,0.025646348666948943,0.02642252898284081
100,ridge,0.01,0.0,0.4,0.026559374143421157,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,ridge,0.01,0.0,0.4,0.04127594126808345,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,ridge,0.01,0.0025,0.1,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0025,0.1,0.019387952145297878,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0025,0.1,0.026559374143421157,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0025,0.1,0.04127594126808345,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0025,0.2,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0025,0.2,0.019387952145297878,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0025,0.2,0.026559374143421157,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.01,0.0025,0.2,0.04127594126808345,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.01,0.0025,0.3,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0025,0.3,0.019387952145297878,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.0147474260019454,-0.0007761803158918631,0.012760868178787218,-0.0608250398810742,0.025646348666948943,0.02642252898284081
100,ridge,0.01,0.0025,0.3,0.026559374143421157,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,ridge,0.01,0.0025,0.3,0.04127594126808345,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,ridge,0.01,0.0025,0.4,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.0025,0.4,0.019387952145297878,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.0147474260019454,-0.0007761803158918631,0.012760868178787218,-0.0608250398810742,0.025646348666948943,0.02642252898284081
100,ridge,0.01,0.0025,0.4,0.026559374143421157,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,ridge,0.01,0.0025,0.4,0.04127594126808345,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,ridge,0.01,0.005,0.1,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.005,0.1,0.019387952145297878,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.005,0.1,0.026559374143421157,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.005,0.1,0.04127594126808345,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.005,0.2,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.005,0.2,0.019387952145297878,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.005,0.2,0.026559374143421157,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.01,0.005,0.2,0.04127594126808345,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.01,0.005,0.3,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.005,0.3,0.019387952145297878,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.005,0.3,0.026559374143421157,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.01,0.005,0.3,0.04127594126808345,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.01,0.005,0.4,0.014495196800925158,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.005,0.4,0.019387952145297878,validation,False,19,0.0,0,1.0,0.0,0.0,0.0,-0.0,0.012760868178787218,-0.0,0.025646348666948943,0.025646348666948943
100,ridge,0.01,0.005,0.4,0.026559374143421157,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,ridge,0.01,0.005,0.4,0.04127594126808345,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,tree,0.0,0.0,0.1,0.006641572417421289,validation,False,19,0.05263157894736842,1,0.0,0.0,1.0,0.022532227133891,0.0011859066912574211,0.012760868178787218,0.09293307278487448,0.025646348666948943,0.02446044197569152
100,tree,0.0,0.0,0.1,0.00861350053603215,validation,False,19,0.05263157894736842,1,0.0,0.0,1.0,0.022532227133891,0.0011859066912574211,0.012760868178787218,0.09293307278487448,0.025646348666948943,0.02446044197569152
100,tree,0.0,0.0,0.1,0.010907639971133065,validation,False,19,0.05263157894736842,1,0.0,0.0,1.0,0.022532227133891,0.0011859066912574211,0.012760868178787218,0.09293307278487448,0.025646348666948943,0.02446044197569152
100,tree,0.0,0.0,0.1,0.01752015110370826,validation,False,19,0.05263157894736842,1,0.0,0.0,1.0,0.022532227133891,0.0011859066912574211,0.012760868178787218,0.09293307278487448,0.025646348666948943,0.02446044197569152
100,tree,0.0,0.0,0.2,0.006641572417421289,validation,False,19,0.05263157894736842,1,0.0,0.0,1.0,0.022532227133891,0.0011859066912574211,0.012760868178787218,0.09293307278487448,0.025646348666948943,0.02446044197569152
100,tree,0.0,0.0,0.2,0.00861350053603215,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,tree,0.0,0.0,0.2,0.010907639971133065,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,tree,0.0,0.0,0.2,0.01752015110370826,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,tree,0.0,0.0,0.3,0.006641572417421289,validation,False,19,0.10526315789473684,2,0.5,0.05263157894736842,0.5,0.0038924005659728006,0.00040972637536555793,0.012760868178787218,0.03210803290380028,0.025646348666948943,0.025236622291583383
100,tree,0.0,0.0,0.3,0.00861350053603215,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,tree,0.0,0.0,0.3,0.010907639971133065,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,tree,0.0,0.0,0.3,0.01752015110370826,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,tree,0.0,0.0,0.4,0.006641572417421289,validation,False,19,0.10526315789473684,2,0.5,0.05263157894736842,0.5,0.0038924005659728006,0.00040972637536555793,0.012760868178787218,0.03210803290380028,0.025646348666948943,0.025236622291583383
100,tree,0.0,0.0,0.4,0.00861350053603215,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,tree,0.0,0.0,0.4,0.010907639971133065,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,tree,0.0,0.0,0.4,0.01752015110370826,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,tree,0.0,0.0025,0.1,0.006641572417421289,validation,False,19,0.05263157894736842,1,0.0,0.0,1.0,0.022532227133891,0.0011859066912574211,0.012760868178787218,0.09293307278487448,0.025646348666948943,0.02446044197569152
100,tree,0.0,0.0025,0.1,0.00861350053603215,validation,False,19,0.05263157894736842,1,0.0,0.0,1.0,0.022532227133891,0.0011859066912574211,0.012760868178787218,0.09293307278487448,0.025646348666948943,0.02446044197569152
100,tree,0.0,0.0025,0.1,0.010907639971133065,validation,False,19,0.05263157894736842,1,0.0,0.0,1.0,0.022532227133891,0.0011859066912574211,0.012760868178787218,0.09293307278487448,0.025646348666948943,0.02446044197569152
100,tree,0.0,0.0025,0.1,0.01752015110370826,validation,False,19,0.05263157894736842,1,0.0,0.0,1.0,0.022532227133891,0.0011859066912574211,0.012760868178787218,0.09293307278487448,0.025646348666948943,0.02446044197569152
100,tree,0.0,0.0025,0.2,0.006641572417421289,validation,False,19,0.05263157894736842,1,0.0,0.0,1.0,0.022532227133891,0.0011859066912574211,0.012760868178787218,0.09293307278487448,0.025646348666948943,0.02446044197569152
100,tree,0.0,0.0025,0.2,0.00861350053603215,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,tree,0.0,0.0025,0.2,0.010907639971133065,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,tree,0.0,0.0025,0.2,0.01752015110370826,validation,False,19,0.05263157894736842,1,1.0,0.05263157894736842,0.0,-0.025117812737753896,-0.0013219901440923102,0.012760868178787218,-0.10359719460858431,0.025646348666948943,0.026968338811041256
100,tree,0.0,0.0025,0.3,0.006641572417421289,validation,False,19,0.10526315789473684,2,0.5,0.05263157894736842,0.5,0.0038924005659728006,0.00040972637536555793,0.012760868178787218,0.03210803290380028,0.025646348666948943,0.025236622291583383
100,tree,0.0,0.0025,0.3,0.00861350053603215,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,tree,0.0,0.0025,0.3,0.010907639971133065,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
100,tree,0.0,0.0025,0.3,0.01752015110370826,validation,False,19,0.10526315789473684,2,1.0,0.10526315789473684,0.0,-0.01993261936984965,-0.0020981704599841735,0.012760868178787218,-0.1644222344896585,0.025646348666948943,0.027744519126933116
